PLOT,yr,plot,lat,long,n_trees,agb
122,2013,122,42.567251,-77.385297,0,0
123,2014,123,42.451702999999974,-74.205156,38,33997.9302
124,2015,124,44.633092,-75.069702,5,1858.741132
125,2019,125,42.502026,-75.28771300000001,7,5189.022088000001
126,2018,126,44.35352699999999,-75.41170400000006,34,4958.637717
127,2014,127,42.35813499999997,-75.91465100000003,36,17984.156877
128,2016,128,41.910183,-74.704429,0,0
129,2018,129,42.16797900000004,-79.75001800000003,36,8703.366197
130,2019,130,44.408689999999986,-74.926328,37,15662.573440000002
131,2019,131,42.689735,-75.924604,0,0
132,2014,132,42.411714,-73.893055,0,0
133,2014,133,43.79180599999999,-74.7653489999999,53,22585.084856999998
134,2013,134,44.34132,-75.161941,33,21255.615257
135,2017,135,42.28716899999997,-76.20462700000003,37,19343.588237999997
136,2016,136,42.542019,-74.991702,0,0
138,2014,138,42.91634299999999,-74.09878300000001,12,14223.600791
141,2019,141,42.003272,-76.180163,28,25485.429084999996
144,2015,144,42.718214,-77.981784,0,0
145,2013,145,43.176114,-78.612492,0,0
147,2015,147,43.14027899999998,-78.19895899999997,40,8871.112959
148,2019,148,41.821663,-74.336514,0,0
149,2017,149,43.592488,-74.43611999999997,38,27562.588881000003
151,2014,151,42.99750999999999,-76.712763,7,10113.945480999999
152,2015,152,40.835755,-73.502748,0,0
154,2014,154,42.297523000000005,-78.745984000000007,10,3655.9287270000004
156,2016,156,43.21238500000001,-74.3569900000001,50,33017.263325
158,2017,158,43.75165999999998,-75.11505800000002,31,14841.800737000001
159,2018,159,44.23775100000005,-74.91496800000003,45,18417.617399000002
160,2015,160,42.164627,-76.213161,0,0
162,2019,162,43.37815,-75.12932900000004,25,6370.053991
164,2019,164,42.291706,-79.634553,0,0
166,2015,166,42.60123599999998,-78.34244600000005,31,9053.958604000001
167,2017,167,42.06202600000003,-75.29432500000003,27,0
168,2019,168,42.92448800000004,-77.18900100000005,40,30428.64506
169,2018,169,44.46639400000002,-73.42009000000004,53,21506.668323
